order_id,customer_id,product_name,category,quantity,unit_price,order_date,payment_method,country
1,C164,Yoga Mat,Sports,1,33.12,2025-03-26,Debit Card,Germany
2,C190,Laptop Sleeve,Electronics,1,27.23,2025-06-15,Bank Transfer,Greece
3,C130,Protein Powder,Sports,1,37.19,2025-06-07,Debit Card,Netherlands
4,C057,Fitness Tracker,Electronics,5,82.49,2025-03-27,Credit Card,Germany
5,C040,Bluetooth Speaker,Electronics,3,57.76,2025-02-10,Credit Card,Spain
6,C155,Phone Case,Electronics,1,17.62,2025-05-12,Credit Card,Spain
7,C161,Protein Powder,Sports,3,32.55,2025-06-11,Debit Card,Netherlands
8,C198,Resistance Bands,Sports,1,21.22,2025-03-15,Credit Card,Spain
9,C094,Water Bottle,Sports,3,14.14,2025-04-15,Debit Card,Netherlands
10,C166,USB-C Cable,Electronics,5,15.33,2025-06-26,Debit Card,Italy
11,C098,Phone Case,Electronics,,18.82,2025-03-12,PayPal,Greece
12,C081,Coffee Mug,Home,3,14.0,2025-01-31,Debit Card,Italy
13,C168,Tennis Racket,Sports,4,64.12,2025-06-28,Bank Transfer,Germany
14,C144,Laptop Sleeve,Electronics,3,30.19,2025-06-13,Bank Transfer,Italy
15,C036,Scented Candle,Home,4,10.22,2025-02-07,Credit Card,Greece
16,C175,HDMI Cable,Electronics,5,16.76,2025-01-31,Bank Transfer,Spain
17,C065,Laptop Sleeve,Electronics,1,34.07,2025-07-08,Credit Card,Netherlands
18,C197,Mechanical Keyboard,Electronics,1,120.63,2025-03-31,Bank Transfer,Germany
19,C225,Phone Case,Electronics,5,19.38,2025-03-01,Credit Card,Netherlands
20,C156,Bluetooth Speaker,Electronics,2,64.62,2025-04-20,Debit Card,Italy
21,C236,Wireless Mouse,Electronics,5,23.88,2025-04-07,Bank Transfer,Greece
22,C213,Resistance Bands,Sports,2,26.58,2025-01-29,Debit Card,Italy
23,C125,USB-C Cable,Electronics,5,13.3,2025-02-16,Debit Card,Netherlands
24,C068,Scented Candle,Home,5,15.04,2025-05-03,Debit Card,Italy
25,C183,Resistance Bands,Sports,4,26.2,2025-07-05,PayPal,Spain
26,C064,Notebook Set,Office,1,9.93,2025-04-11,Credit Card,Italy
27,C002,USB-C Cable,Electronics,1,16.38,2025-03-14,Credit Card,Greece
28,C061,Phone Case,Electronics,4,24.47,2025-03-10,Debit Card,Netherlands
29,C122,Notebook Set,Office,4,6.28,2025-04-29,Debit Card,Greece
30,C109,HDMI Cable,Electronics,4,15.21,2025-01-28,Credit Card,Greece
31,C221,Yoga Mat,Sports,2,35.59,2025-03-05,Debit Card,Italy
32,C072,Fitness Tracker,Electronics,2,77.68,2025-02-03,Bank Transfer,Italy
33,C139,Wireless Mouse,Electronics,1,26.88,2025-03-16,Debit Card,Spain
34,C103,Running Shoes,Sports,2,89.02,2025-04-22,Credit Card,Spain
35,C117,Resistance Bands,Sports,4,20.52,2025-07-12,Bank Transfer,Germany
36,C015,Desk Organizer,Office,5,15.9,2025-01-30,PayPal,Greece
37,C236,Scented Candle,Home,2,9.55,2025-01-29,Credit Card,Germany
38,C221,Notebook Set,Office,4,10.26,2025-02-14,Debit Card,Italy
39,C108,Desk Organizer,Office,5,17.13,2025-05-28,PayPal,France
40,C062,Phone Case,Electronics,4,19.52,2025-02-17,PayPal,Spain
